company_industry,llm_role_category_clean,n,industry_total,role_share
Education,Business Intelligence,183,208,0.8798076923076923
Technology,Operations Analyst,147,880,0.16704545454545455
Technology,Data Engineer,133,880,0.15113636363636362
Technology,Data Analyst,102,880,0.1159090909090909
Healthcare,Product Analyst,98,540,0.1814814814814815
Healthcare,Business Analyst,92,540,0.17037037037037037
Consulting / Professional Services,Data Scientist,88,480,0.18333333333333332
Healthcare,Reporting Analyst,88,540,0.16296296296296298
Technology,Data Scientist,88,880,0.1
Consulting / Professional Services,Analytics Manager,84,480,0.175
Finance & Insurance,Financial Analyst,78,341,0.2287390029325513
Technology,Business Analyst,75,880,0.08522727272727272
Technology,Product Analyst,71,880,0.08068181818181819
Government / Public Sector,Database Role,65,193,0.33678756476683935
Consulting / Professional Services,Financial Analyst,60,480,0.125
Consulting / Professional Services,Data Engineer,59,480,0.12291666666666666
Healthcare,Market Research Analyst,59,540,0.10925925925925926
Technology,Market Research Analyst,59,880,0.06704545454545455
Technology,Database Role,54,880,0.06136363636363636
Consulting / Professional Services,Reporting Analyst,45,480,0.09375
Finance & Insurance,Product Analyst,44,341,0.12903225806451613
Consulting / Professional Services,Business Analyst,42,480,0.0875
Technology,Business Intelligence,41,880,0.04659090909090909
Healthcare,Financial Analyst,38,540,0.07037037037037037
Energy / Utilities,Financial Analyst,37,73,0.5068493150684932
Healthcare,Data Analyst,37,540,0.06851851851851852
Technology,Analytics Manager,37,880,0.042045454545454546
Finance & Insurance,Reporting Analyst,32,341,0.093841642228739
Government / Public Sector,Other Data/Analytics Role,31,193,0.16062176165803108
Finance & Insurance,Data Engineer,29,341,0.08504398826979472
Healthcare,Operations Analyst,29,540,0.053703703703703705
Technology,Financial Analyst,29,880,0.03295454545454545
Finance & Insurance,Market Research Analyst,28,341,0.08211143695014662
Technology,Other Data/Analytics Role,28,880,0.031818181818181815
Finance & Insurance,Operations Analyst,26,341,0.07624633431085044
Healthcare,Data Scientist,26,540,0.04814814814814815
Consulting / Professional Services,Data Analyst,25,480,0.052083333333333336
Finance & Insurance,Analytics Manager,25,341,0.07331378299120235
Finance & Insurance,Business Analyst,25,341,0.07331378299120235
Healthcare,Analytics Manager,23,540,0.04259259259259259
Healthcare,Other Data/Analytics Role,22,540,0.040740740740740744
Consulting / Professional Services,Operations Analyst,20,480,0.041666666666666664
Finance & Insurance,Data Analyst,20,341,0.05865102639296188
Government / Public Sector,Operations Analyst,20,193,0.10362694300518134
Manufacturing,Financial Analyst,19,50,0.38
Government / Public Sector,Data Analyst,18,193,0.09326424870466321
Retail / E-commerce,Analytics Manager,18,35,0.5142857142857142
Consulting / Professional Services,Market Research Analyst,17,480,0.035416666666666666
Consulting / Professional Services,Business Intelligence,16,480,0.03333333333333333
Government / Public Sector,Business Analyst,16,193,0.08290155440414508
Technology,Reporting Analyst,16,880,0.01818181818181818
Finance & Insurance,Data Scientist,15,341,0.04398826979472141
Consulting / Professional Services,Other Data/Analytics Role,14,480,0.029166666666666667
Government / Public Sector,Data Scientist,14,193,0.07253886010362694
Healthcare,Data Engineer,13,540,0.024074074074074074
Media / Entertainment,Analytics Manager,12,44,0.2727272727272727
Other / Unknown,Analytics Manager,12,71,0.16901408450704225
Other / Unknown,Business Analyst,12,71,0.16901408450704225
Healthcare,Database Role,11,540,0.020370370370370372
Manufacturing,Analytics Manager,11,50,0.22
Education,Other Data/Analytics Role,10,208,0.04807692307692308
Finance & Insurance,Database Role,10,341,0.02932551319648094
Other / Unknown,Other Data/Analytics Role,10,71,0.14084507042253522
Other / Unknown,Financial Analyst,9,71,0.1267605633802817
Government / Public Sector,Data Engineer,8,193,0.04145077720207254
Media / Entertainment,Reporting Analyst,8,44,0.18181818181818182
Real Estate,Product Analyst,8,21,0.38095238095238093
Finance & Insurance,Other Data/Analytics Role,7,341,0.020527859237536656
Government / Public Sector,Financial Analyst,7,193,0.03626943005181347
Consulting / Professional Services,Database Role,6,480,0.0125
Energy / Utilities,Analytics Manager,6,73,0.0821917808219178
Media / Entertainment,Market Research Analyst,6,44,0.13636363636363635
Retail / E-commerce,Financial Analyst,6,35,0.17142857142857143
Transportation / Logistics,Analytics Manager,6,31,0.1935483870967742
Transportation / Logistics,Data Scientist,6,31,0.1935483870967742
Transportation / Logistics,Operations Analyst,6,31,0.1935483870967742
Education,Reporting Analyst,5,208,0.02403846153846154
Energy / Utilities,Data Analyst,5,73,0.0684931506849315
Government / Public Sector,Reporting Analyst,5,193,0.025906735751295335
Media / Entertainment,Other Data/Analytics Role,5,44,0.11363636363636363
Media / Entertainment,Product Analyst,5,44,0.11363636363636363
Other / Unknown,Data Analyst,5,71,0.07042253521126761
Other / Unknown,Data Scientist,5,71,0.07042253521126761
Other / Unknown,Reporting Analyst,5,71,0.07042253521126761
Consulting / Professional Services,Product Analyst,4,480,0.008333333333333333
Energy / Utilities,Market Research Analyst,4,73,0.0547945205479452
Energy / Utilities,Reporting Analyst,4,73,0.0547945205479452
Government / Public Sector,Business Intelligence,4,193,0.02072538860103627
Healthcare,Business Intelligence,4,540,0.007407407407407408
Hospitality,Market Research Analyst,4,8,0.5
Manufacturing,Operations Analyst,4,50,0.08
Manufacturing,Product Analyst,4,50,0.08
Media / Entertainment,Data Engineer,4,44,0.09090909090909091
Other / Unknown,Data Engineer,4,71,0.056338028169014086
Retail / E-commerce,Data Analyst,4,35,0.11428571428571428
Transportation / Logistics,Financial Analyst,4,31,0.12903225806451613
Education,Analytics Manager,3,208,0.014423076923076924
Education,Financial Analyst,3,208,0.014423076923076924
Energy / Utilities,Operations Analyst,3,73,0.0410958904109589
Energy / Utilities,Other Data/Analytics Role,3,73,0.0410958904109589
Energy / Utilities,Product Analyst,3,73,0.0410958904109589
Government / Public Sector,Product Analyst,3,193,0.015544041450777202
Manufacturing,Database Role,3,50,0.06
Other / Unknown,Market Research Analyst,3,71,0.04225352112676056
Real Estate,Data Analyst,3,21,0.14285714285714285
Real Estate,Financial Analyst,3,21,0.14285714285714285
Transportation / Logistics,Other Data/Analytics Role,3,31,0.0967741935483871
Education,Database Role,2,208,0.009615384615384616
Education,Market Research Analyst,2,208,0.009615384615384616
Energy / Utilities,Business Analyst,2,73,0.0273972602739726
Energy / Utilities,Data Engineer,2,73,0.0273972602739726
Energy / Utilities,Database Role,2,73,0.0273972602739726
Finance & Insurance,Business Intelligence,2,341,0.005865102639296188
Manufacturing,Data Analyst,2,50,0.04
Manufacturing,Market Research Analyst,2,50,0.04
Media / Entertainment,Data Scientist,2,44,0.045454545454545456
Nonprofit,Financial Analyst,2,8,0.25
Nonprofit,Reporting Analyst,2,8,0.25
Other / Unknown,Database Role,2,71,0.028169014084507043
Other / Unknown,Product Analyst,2,71,0.028169014084507043
Real Estate,Data Engineer,2,21,0.09523809523809523
Real Estate,Market Research Analyst,2,21,0.09523809523809523
Retail / E-commerce,Product Analyst,2,35,0.05714285714285714
Retail / E-commerce,Reporting Analyst,2,35,0.05714285714285714
Transportation / Logistics,Data Analyst,2,31,0.06451612903225806
Transportation / Logistics,Data Engineer,2,31,0.06451612903225806
Energy / Utilities,Business Intelligence,1,73,0.0136986301369863
Energy / Utilities,Data Scientist,1,73,0.0136986301369863
Government / Public Sector,Analytics Manager,1,193,0.0051813471502590676
Government / Public Sector,Market Research Analyst,1,193,0.0051813471502590676
Hospitality,Analytics Manager,1,8,0.125
Hospitality,Data Engineer,1,8,0.125
Hospitality,Database Role,1,8,0.125
Hospitality,Operations Analyst,1,8,0.125
Manufacturing,Business Analyst,1,50,0.02
Manufacturing,Data Engineer,1,50,0.02
Manufacturing,Data Scientist,1,50,0.02
Manufacturing,Other Data/Analytics Role,1,50,0.02
Manufacturing,Reporting Analyst,1,50,0.02
Media / Entertainment,Data Analyst,1,44,0.022727272727272728
Media / Entertainment,Financial Analyst,1,44,0.022727272727272728
Nonprofit,Analytics Manager,1,8,0.125
Nonprofit,Business Intelligence,1,8,0.125
Nonprofit,Data Engineer,1,8,0.125
Nonprofit,Database Role,1,8,0.125
Other / Unknown,Business Intelligence,1,71,0.014084507042253521
Other / Unknown,Operations Analyst,1,71,0.014084507042253521
Real Estate,Analytics Manager,1,21,0.047619047619047616
Real Estate,Business Analyst,1,21,0.047619047619047616
Real Estate,Other Data/Analytics Role,1,21,0.047619047619047616
Retail / E-commerce,Data Engineer,1,35,0.02857142857142857
Retail / E-commerce,Data Scientist,1,35,0.02857142857142857
Retail / E-commerce,Market Research Analyst,1,35,0.02857142857142857
Transportation / Logistics,Business Analyst,1,31,0.03225806451612903
Transportation / Logistics,Product Analyst,1,31,0.03225806451612903
